NO.	Time	Interval	Indoor Temperature(°C)	Indoor Humidity(%)	Outdoor Temperature(°C)	Outdoor Humidity(%)	Relative Pressure(hpa)	Absolute Pressure(hpa)	Wind Speed(km/h)	Gust(km/h)	Wind Direction	DewPoint(°C)	WindChill(°C)	Hour Rainfall(mm)	24 Hour Rainfall(mm)	Week Rainfall(mm)	Month Rainfall(mm)	Total Rainfall(mm)
119	1/08/2016 11:13:31 PM	30	15.8	63	14.1	89	1008.8	1014.4	0.0	0.0	SE	12.3	14.1	0.00	0.00	0.00	0.00	0.00
120	1/08/2016 11:43:31 PM	30	15.6	63	14.8	88	1008.7	1014.3	0.0	0.0	SE	12.8	14.8	0.00	0.00	0.00	0.00	0.00
121	2/08/2016 12:13:31 AM	30	15.5	64	14.8	88	1008.5	1014.1	0.0	1.1	NE	12.8	14.8	0.00	0.00	0.00	0.00	0.00
122	2/08/2016 12:43:31 AM	30	15.3	66	14.5	90	1008.2	1013.8	0.0	0.0	NE	12.9	14.5	0.00	0.00	0.00	0.00	0.00
123	2/08/2016 1:13:31 AM	30	15.2	66	14.4	90	1007.8	1013.4	0.0	1.1	NE	12.8	14.4	0.00	0.00	0.00	0.00	0.00
124	2/08/2016 1:43:31 AM	30	15.0	66	14.1	90	1007.6	1013.2	0.0	1.1	NE	12.5	14.1	0.00	0.00	0.00	0.00	0.00
125	2/08/2016 2:13:31 AM	30	14.9	68	14.0	90	1007.1	1012.7	0.0	0.0	NE	12.4	14.0	0.00	0.00	0.00	0.00	0.00
126	2/08/2016 2:43:31 AM	30	14.7	69	13.5	92	1007.0	1012.6	0.0	0.0	NE	12.2	13.5	0.00	0.00	0.00	0.00	0.00
127	2/08/2016 3:13:31 AM	30	14.3	69	12.9	92	1006.8	1012.4	0.0	0.0	NE	11.6	12.9	0.00	0.00	0.00	0.00	0.00
128	2/08/2016 3:43:31 AM	30	14.1	70	13.0	94	1006.9	1012.5	0.0	0.0	NE	12.1	13.0	0.00	0.00	0.00	0.00	0.00
129	2/08/2016 4:13:31 AM	30	14.0	71	13.1	93	1006.7	1012.3	0.0	0.0	NE	12.0	13.1	0.00	0.00	0.00	0.00	0.00
130	2/08/2016 4:43:31 AM	30	14.0	71	13.4	89	1007.0	1012.6	0.0	1.1	SE	11.6	13.4	0.00	0.00	0.00	0.00	0.00
131	2/08/2016 5:13:31 AM	30	14.3	71	14.3	82	1007.3	1012.9	0.0	2.5	S	11.3	14.3	0.00	0.00	0.00	0.00	0.00
132	2/08/2016 5:43:31 AM	30	14.5	71	14.5	81	1007.5	1013.1	0.0	0.0	E	11.3	14.5	0.00	0.00	0.00	0.00	0.00
133	2/08/2016 6:13:31 AM	30	14.6	71	14.6	80	1007.3	1012.9	0.0	0.0	NNE	11.2	14.6	0.00	0.00	0.00	0.00	0.00
134	2/08/2016 6:43:31 AM	30	14.7	71	14.3	81	1007.4	1013.0	0.0	0.0	NNE	11.1	14.3	0.00	0.00	0.00	0.00	0.00
135	2/08/2016 7:13:31 AM	30	14.7	71	14.5	81	1007.5	1013.1	0.0	0.0	NNE	11.3	14.5	0.00	0.00	0.00	0.00	0.00
136	2/08/2016 7:43:31 AM	30	15.0	70	15.2	80	1007.9	1013.5	0.0	0.0	NNE	11.8	15.2	0.00	0.00	0.00	0.00	0.00
137	2/08/2016 8:13:31 AM	30	15.3	70	16.0	75	1008.2	1013.8	0.0	0.0	NNE	11.6	16.0	0.00	0.00	0.00	0.00	0.00
138	2/08/2016 8:43:31 AM	30	15.7	70	16.5	73	1008.1	1013.7	0.0	1.1	SSW	11.7	16.5	0.00	0.00	0.00	0.00	0.00
139	2/08/2016 9:13:31 AM	30	16.4	69	17.4	70	1007.7	1013.3	0.0	1.1	NE	11.9	17.4	0.00	0.00	0.00	0.00	0.00
140	2/08/2016 9:43:31 AM	30	17.7	68	19.3	67	1008.0	1013.6	0.0	2.5	NW	13.0	19.3	0.00	0.00	0.00	0.00	0.00
141	2/08/2016 10:13:31 AM	30	18.7	67	20.8	62	1007.8	1013.4	0.0	0.0	SEE	13.3	20.8	0.00	0.00	0.00	0.00	0.00
142	2/08/2016 10:43:31 AM	30	20.3	64	22.3	58	1007.2	1012.8	0.0	1.1	SW	13.7	22.3	0.00	0.00	0.00	0.00	0.00
143	2/08/2016 11:13:31 AM	30	21.5	63	23.2	60	1006.8	1012.4	0.0	0.0	NWW	15.0	23.2	0.00	0.00	0.00	0.00	0.00
144	2/08/2016 11:43:31 AM	30	22.2	61	22.9	61	1006.4	1012.0	1.1	3.6	W	15.0	22.9	0.00	0.00	0.00	0.00	0.00
145	2/08/2016 12:13:31 PM	30	22.4	63	22.8	64	1005.9	1011.5	6.1	9.7	SW	15.7	22.8	0.00	0.00	0.00	0.00	0.00
146	2/08/2016 12:43:31 PM	30	22.2	65	21.4	72	1005.7	1011.3	2.5	6.1	NWW	16.2	21.4	0.00	0.00	0.00	0.00	0.00
147	2/08/2016 1:13:31 PM	30	21.7	67	20.9	80	1004.9	1010.5	1.1	3.6	NW	17.3	20.9	0.00	0.00	0.00	0.00	0.00
148	2/08/2016 1:43:31 PM	30	21.8	69	22.3	72	1004.5	1010.1	0.0	1.1	W	17.0	22.3	0.00	0.00	0.00	0.00	0.00
149	2/08/2016 2:13:31 PM	30	22.7	68	25.4	61	1003.9	1009.5	0.0	2.5	NNW	17.4	25.4	0.00	0.00	0.00	0.00	0.00
150	2/08/2016 2:43:31 PM	30	23.6	66	26.4	58	1003.8	1009.4	1.1	3.6	NWW	17.5	26.4	0.00	0.00	0.00	0.00	0.00
151	2/08/2016 3:13:31 PM	30	23.9	63	23.6	62	1003.5	1009.1	0.0	1.1	W	15.9	23.6	0.00	0.00	0.00	0.00	0.00
152	2/08/2016 3:43:31 PM	30	25.0	60	24.0	57	1003.2	1008.8	0.0	1.1	SE	15.0	24.0	0.00	0.00	0.00	0.00	0.00
153	2/08/2016 4:13:31 PM	30	29.7	53	23.6	60	1003.1	1008.7	0.0	1.1	E	15.4	23.6	0.00	0.00	0.00	0.00	0.00
154	2/08/2016 4:43:31 PM	30	26.8	51	22.2	67	1003.2	1008.8	0.0	2.5	E	15.8	22.2	0.00	0.00	0.00	0.00	0.00
155	2/08/2016 5:13:31 PM	30	24.7	59	20.7	81	1003.3	1008.9	0.0	0.0	NE	17.3	20.7	0.00	0.00	0.00	0.00	0.00
156	2/08/2016 5:43:31 PM	30	23.1	63	19.8	89	1003.4	1009.0	0.0	1.1	NE	18.0	19.8	0.00	0.00	0.00	0.00	0.00
157	2/08/2016 6:13:31 PM	30	22.3	67	19.6	91	1003.8	1009.4	0.0	0.0	W	18.1	19.6	0.00	0.00	0.00	0.00	0.00
158	2/08/2016 6:43:31 PM	30	21.6	69	19.2	91	1003.5	1009.1	0.0	0.0	W	17.7	19.2	0.30	0.30	0.30	0.30	0.30
159	2/08/2016 7:13:31 PM	30	21.2	69	19.1	91	1003.6	1009.2	0.0	0.0	W	17.6	19.1	0.30	0.30	0.30	0.30	0.30
160	2/08/2016 7:43:31 PM	30	20.8	70	18.7	92	1003.9	1009.5	0.0	0.0	W	17.4	18.7	0.00	0.30	0.30	0.30	0.30
161	2/08/2016 8:13:31 PM	30	20.4	71	18.6	92	1003.4	1009.0	0.0	0.0	SW	17.3	18.6	0.00	0.30	0.30	0.30	0.30
162	2/08/2016 8:43:31 PM	30	20.1	72	18.6	91	1003.2	1008.8	1.1	2.5	SE	17.1	18.6	0.00	0.30	0.30	0.30	0.30
163	2/08/2016 9:13:31 PM	30	20.0	73	18.7	89	1003.0	1008.6	0.0	1.1	SE	16.9	18.7	0.00	0.30	0.30	0.30	0.30
164	2/08/2016 9:43:31 PM	30	19.7	75	18.3	90	1002.9	1008.5	0.0	2.5	SE	16.7	18.3	0.00	0.30	0.30	0.30	0.30
165	2/08/2016 10:13:31 PM	30	19.3	74	18.2	89	1002.5	1008.1	1.1	3.6	SE	16.4	18.2	0.00	0.30	0.30	0.30	0.30
166	2/08/2016 10:43:31 PM	30	19.0	73	18.0	88	1002.6	1008.2	0.0	2.5	W	16.0	18.0	0.00	0.30	0.30	0.30	0.30
167	2/08/2016 11:13:31 PM	30	18.7	75	17.4	88	1002.8	1008.4	0.0	2.5	NW	15.4	17.4	0.00	0.30	0.30	0.30	0.30
168	2/08/2016 11:43:31 PM	30	18.4	75	16.6	91	1002.4	1008.0	0.0	0.0	W	15.1	16.6	0.00	0.30	0.30	0.30	0.30
